run	V(vref)
5.640000000000000e+02	1.216773e+00
5.650000000000000e+02	1.202539e+00
5.660000000000000e+02	1.224303e+00
5.670000000000000e+02	1.234775e+00
5.680000000000000e+02	1.206843e+00
5.690000000000000e+02	1.201342e+00
5.700000000000000e+02	1.257522e+00
5.710000000000000e+02	1.225046e+00
5.720000000000000e+02	1.174841e+00
5.730000000000000e+02	1.214667e+00
5.740000000000000e+02	1.210041e+00
5.750000000000000e+02	1.218451e+00
5.760000000000000e+02	1.221480e+00
5.770000000000000e+02	1.181759e+00
5.780000000000000e+02	1.160420e+00
5.790000000000000e+02	1.196095e+00
5.800000000000000e+02	1.180856e+00
5.810000000000000e+02	1.231364e+00
5.820000000000000e+02	1.215038e+00
5.830000000000000e+02	1.204317e+00
5.840000000000000e+02	1.201513e+00
5.850000000000000e+02	1.237776e+00
5.860000000000000e+02	1.212093e+00
5.870000000000000e+02	1.225425e+00
5.880000000000000e+02	1.222932e+00
5.890000000000000e+02	1.194010e+00
5.900000000000000e+02	1.229767e+00
5.910000000000000e+02	1.184479e+00
5.920000000000000e+02	1.199538e+00
5.930000000000000e+02	1.197007e+00
5.940000000000000e+02	1.217586e+00
5.950000000000000e+02	1.203208e+00
5.960000000000000e+02	1.234675e+00
5.970000000000000e+02	1.213409e+00
5.980000000000000e+02	1.198260e+00
5.990000000000000e+02	1.195274e+00
6.000000000000000e+02	1.219712e+00
6.010000000000000e+02	1.194513e+00
6.020000000000000e+02	1.214075e+00
6.030000000000000e+02	1.202119e+00
6.040000000000000e+02	1.195218e+00
6.050000000000000e+02	1.240066e+00
6.060000000000000e+02	1.219259e+00
6.070000000000000e+02	1.208645e+00
6.080000000000000e+02	1.235008e+00
6.090000000000000e+02	1.190176e+00
6.100000000000000e+02	1.220925e+00
6.110000000000000e+02	1.262043e+00
6.120000000000000e+02	1.211873e+00
6.130000000000000e+02	1.208366e+00
6.140000000000000e+02	1.204875e+00
6.150000000000000e+02	1.207629e+00
6.160000000000000e+02	1.211000e+00
6.170000000000000e+02	1.235878e+00
6.180000000000000e+02	1.222035e+00
6.190000000000000e+02	1.236192e+00
6.200000000000000e+02	1.210309e+00
6.210000000000000e+02	1.183011e+00
6.220000000000000e+02	1.197638e+00
6.230000000000000e+02	1.164082e+00
6.240000000000000e+02	1.233492e+00
6.250000000000000e+02	1.210376e+00
6.260000000000000e+02	1.228469e+00
6.270000000000000e+02	1.197272e+00
6.280000000000000e+02	1.189053e+00
6.290000000000000e+02	1.204483e+00
6.300000000000000e+02	1.164767e+00
